model_name,test_category,root_type,sub_type,count,error_type,original_model_name,model_type,test_category_count
Gemma-7b-it (Prompt),ast_multiple,Function Parsing Error, Decoding Failure,55,Function Parsing Error: Decoding Failure,google_gemma-7b-it,Prompt,200.0
Gemma-7b-it (Prompt),ast_multiple,Function Parsing Error, Incorrect Decoder Output Format,31,Function Parsing Error: Incorrect Decoder Output Format,google_gemma-7b-it,Prompt,200.0
Gemma-7b-it (Prompt),ast_multiple,Parallel Function Error, No Match Found,14,Parallel Function Error: No Match Found,google_gemma-7b-it,Prompt,200.0
Gemma-7b-it (Prompt),ast_multiple,Parallel Function Error, Unexpected Function Count,4,Parallel Function Error: Unexpected Function Count,google_gemma-7b-it,Prompt,200.0
Gemma-7b-it (Prompt),ast_parallel_multiple,Function Parsing Error, Decoding Failure,22,Function Parsing Error: Decoding Failure,google_gemma-7b-it,Prompt,200.0
Gemma-7b-it (Prompt),ast_parallel_multiple,Function Parsing Error, Incorrect Decoder Output Format,31,Function Parsing Error: Incorrect Decoder Output Format,google_gemma-7b-it,Prompt,200.0
Gemma-7b-it (Prompt),ast_parallel_multiple,Parallel Function Error, No Match Found,59,Parallel Function Error: No Match Found,google_gemma-7b-it,Prompt,200.0
Gemma-7b-it (Prompt),ast_parallel_multiple,Parallel Function Error, Unexpected Function Count,17,Parallel Function Error: Unexpected Function Count,google_gemma-7b-it,Prompt,200.0
Gemma-7b-it (Prompt),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,4,Executable Function Error (REST): Incorrect HTTP Status Code,google_gemma-7b-it,Prompt,70.0
Gemma-7b-it (Prompt),exec_rest,Executable Function Error (REST), Runtime Execution Error,30,Executable Function Error (REST): Runtime Execution Error,google_gemma-7b-it,Prompt,70.0
Gemma-7b-it (Prompt),exec_rest,Function Parsing Error, Decoding Failure,29,Function Parsing Error: Decoding Failure,google_gemma-7b-it,Prompt,70.0
Gemma-7b-it (Prompt),ast_simple,Function Parsing Error, Decoding Failure,125,Function Parsing Error: Decoding Failure,google_gemma-7b-it,Prompt,400.0
Gemma-7b-it (Prompt),ast_simple,Function Parsing Error, Incorrect Decoder Output Format,50,Function Parsing Error: Incorrect Decoder Output Format,google_gemma-7b-it,Prompt,400.0
Gemma-7b-it (Prompt),ast_simple,Simple Function Error, Missing Optional Parameter,4,Simple Function Error: Missing Optional Parameter,google_gemma-7b-it,Prompt,400.0
Gemma-7b-it (Prompt),ast_simple,Simple Function Error, Missing Required Parameter,3,Simple Function Error: Missing Required Parameter,google_gemma-7b-it,Prompt,400.0
Gemma-7b-it (Prompt),ast_simple,Simple Function Error, Unexpected Argument Count,1,Simple Function Error: Unexpected Argument Count,google_gemma-7b-it,Prompt,400.0
Gemma-7b-it (Prompt),ast_simple,Type Error, Composite Type Mismatch,1,Type Error: Composite Type Mismatch,google_gemma-7b-it,Prompt,400.0
Gemma-7b-it (Prompt),ast_simple,Type Error, Primitive Type Mismatch,1,Type Error: Primitive Type Mismatch,google_gemma-7b-it,Prompt,400.0
Gemma-7b-it (Prompt),ast_simple,Value Error, Invalid List/Tuple Format,2,Value Error: Invalid List/Tuple Format,google_gemma-7b-it,Prompt,400.0
Gemma-7b-it (Prompt),ast_simple,Value Error, Wrong String Value,16,Value Error: Wrong String Value,google_gemma-7b-it,Prompt,400.0
Gemma-7b-it (Prompt),ast_simple,Value Error, Wrong int/float/bool/variable Value,7,Value Error: Wrong int/float/bool/variable Value,google_gemma-7b-it,Prompt,400.0
Gemma-7b-it (Prompt),ast_java,Function Parsing Error, Decoding Failure,55,Function Parsing Error: Decoding Failure,google_gemma-7b-it,Prompt,100.0
Gemma-7b-it (Prompt),ast_java,Simple Function Error, Missing Required Parameter,1,Simple Function Error: Missing Required Parameter,google_gemma-7b-it,Prompt,100.0
Gemma-7b-it (Prompt),ast_java,Simple Function Error, Unexpected Parameter Encountered,2,Simple Function Error: Unexpected Parameter Encountered,google_gemma-7b-it,Prompt,100.0
Gemma-7b-it (Prompt),ast_java,Type Error, Primitive Type Mismatch,9,Type Error: Primitive Type Mismatch,google_gemma-7b-it,Prompt,100.0
Gemma-7b-it (Prompt),ast_java,Value Error, Wrong String Value,4,Value Error: Wrong String Value,google_gemma-7b-it,Prompt,100.0
Gemma-7b-it (Prompt),ast_js,Function Parsing Error, Decoding Failure,15,Function Parsing Error: Decoding Failure,google_gemma-7b-it,Prompt,100.0
Gemma-7b-it (Prompt),ast_js,Simple Function Error, Incorrect Function Name,1,Simple Function Error: Incorrect Function Name,google_gemma-7b-it,Prompt,100.0
Gemma-7b-it (Prompt),ast_js,Simple Function Error, Missing Optional Parameter,1,Simple Function Error: Missing Optional Parameter,google_gemma-7b-it,Prompt,100.0
Gemma-7b-it (Prompt),ast_js,Simple Function Error, Missing Required Parameter,16,Simple Function Error: Missing Required Parameter,google_gemma-7b-it,Prompt,100.0
Gemma-7b-it (Prompt),ast_js,Simple Function Error, Unexpected Parameter Encountered,1,Simple Function Error: Unexpected Parameter Encountered,google_gemma-7b-it,Prompt,100.0
Gemma-7b-it (Prompt),ast_js,Type Error, Primitive Type Mismatch,2,Type Error: Primitive Type Mismatch,google_gemma-7b-it,Prompt,100.0
Gemma-7b-it (Prompt),ast_js,Value Error, Wrong String Value,2,Value Error: Wrong String Value,google_gemma-7b-it,Prompt,100.0
Nexusflow-Raven-v2 (FC),ast_parallel,Function Parsing Error, Decoding Failure,3,Function Parsing Error: Decoding Failure,Nexusflow-Raven-v2,FC,200.0
Nexusflow-Raven-v2 (FC),ast_parallel,Function Parsing Error, Incorrect Decoder Output Format,2,Function Parsing Error: Incorrect Decoder Output Format,Nexusflow-Raven-v2,FC,200.0
Nexusflow-Raven-v2 (FC),ast_parallel,Parallel Function Error, No Match Found,26,Parallel Function Error: No Match Found,Nexusflow-Raven-v2,FC,200.0
Nexusflow-Raven-v2 (FC),ast_parallel,Parallel Function Error, Unexpected Function Count,108,Parallel Function Error: Unexpected Function Count,Nexusflow-Raven-v2,FC,200.0
Nexusflow-Raven-v2 (FC),exec_simple,Executable Function Error (Non REST), Incorrect Execution Result,3,Executable Function Error (Non REST): Incorrect Execution Result,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,3,Executable Function Error (Non REST): Runtime Execution Error,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),relevance,Relevance Error, Succeeded with Irrelevant Func Doc,235,Relevance Error: Succeeded with Irrelevant Func Doc,Nexusflow-Raven-v2,FC,240.0
Nexusflow-Raven-v2 (FC),exec_parallel_multiple,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,Nexusflow-Raven-v2,FC,40.0
Nexusflow-Raven-v2 (FC),exec_parallel_multiple,Value Error, Execution Result Count,6,Value Error: Execution Result Count,Nexusflow-Raven-v2,FC,40.0
Nexusflow-Raven-v2 (FC),exec_parallel,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,Nexusflow-Raven-v2,FC,50.0
Nexusflow-Raven-v2 (FC),exec_parallel,Value Error, Execution Result Count,20,Value Error: Execution Result Count,Nexusflow-Raven-v2,FC,50.0
Nexusflow-Raven-v2 (FC),ast_multiple,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,Nexusflow-Raven-v2,FC,200.0
Nexusflow-Raven-v2 (FC),ast_multiple,Parallel Function Error, No Match Found,45,Parallel Function Error: No Match Found,Nexusflow-Raven-v2,FC,200.0
Nexusflow-Raven-v2 (FC),ast_multiple,Parallel Function Error, Unexpected Function Count,1,Parallel Function Error: Unexpected Function Count,Nexusflow-Raven-v2,FC,200.0
Nexusflow-Raven-v2 (FC),ast_parallel_multiple,Function Parsing Error, Decoding Failure,4,Function Parsing Error: Decoding Failure,Nexusflow-Raven-v2,FC,200.0
Nexusflow-Raven-v2 (FC),ast_parallel_multiple,Function Parsing Error, Incorrect Decoder Output Format,1,Function Parsing Error: Incorrect Decoder Output Format,Nexusflow-Raven-v2,FC,200.0
Nexusflow-Raven-v2 (FC),ast_parallel_multiple,Parallel Function Error, No Match Found,87,Parallel Function Error: No Match Found,Nexusflow-Raven-v2,FC,200.0
Nexusflow-Raven-v2 (FC),ast_parallel_multiple,Parallel Function Error, Unexpected Function Count,21,Parallel Function Error: Unexpected Function Count,Nexusflow-Raven-v2,FC,200.0
Nexusflow-Raven-v2 (FC),exec_rest,Executable Error (REST), Response Format Error,4,Executable Error (REST): Response Format Error,Nexusflow-Raven-v2,FC,70.0
Nexusflow-Raven-v2 (FC),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,33,Executable Function Error (REST): Incorrect HTTP Status Code,Nexusflow-Raven-v2,FC,70.0
Nexusflow-Raven-v2 (FC),exec_rest,Executable Function Error (REST), Incorrect Response Key,12,Executable Function Error (REST): Incorrect Response Key,Nexusflow-Raven-v2,FC,70.0
Nexusflow-Raven-v2 (FC),exec_rest,Executable Function Error (REST), Runtime Execution Error,5,Executable Function Error (REST): Runtime Execution Error,Nexusflow-Raven-v2,FC,70.0
Nexusflow-Raven-v2 (FC),ast_simple,Function Parsing Error, Decoding Failure,7,Function Parsing Error: Decoding Failure,Nexusflow-Raven-v2,FC,400.0
Nexusflow-Raven-v2 (FC),ast_simple,Simple Function Error, Incorrect Function Name,7,Simple Function Error: Incorrect Function Name,Nexusflow-Raven-v2,FC,400.0
Nexusflow-Raven-v2 (FC),ast_simple,Simple Function Error, Missing Optional Parameter,19,Simple Function Error: Missing Optional Parameter,Nexusflow-Raven-v2,FC,400.0
Nexusflow-Raven-v2 (FC),ast_simple,Simple Function Error, Missing Required Parameter,6,Simple Function Error: Missing Required Parameter,Nexusflow-Raven-v2,FC,400.0
Nexusflow-Raven-v2 (FC),ast_simple,Type Error, Composite Type Mismatch,7,Type Error: Composite Type Mismatch,Nexusflow-Raven-v2,FC,400.0
Nexusflow-Raven-v2 (FC),ast_simple,Type Error, Primitive Type Mismatch,13,Type Error: Primitive Type Mismatch,Nexusflow-Raven-v2,FC,400.0
Nexusflow-Raven-v2 (FC),ast_simple,Value Error, Invalid Dictionary Key,2,Value Error: Invalid Dictionary Key,Nexusflow-Raven-v2,FC,400.0
Nexusflow-Raven-v2 (FC),ast_simple,Value Error, Invalid List/Tuple Format,9,Value Error: Invalid List/Tuple Format,Nexusflow-Raven-v2,FC,400.0
Nexusflow-Raven-v2 (FC),ast_simple,Value Error, Wrong String Value,25,Value Error: Wrong String Value,Nexusflow-Raven-v2,FC,400.0
Nexusflow-Raven-v2 (FC),ast_simple,Value Error, Wrong int/float/bool/variable Value,8,Value Error: Wrong int/float/bool/variable Value,Nexusflow-Raven-v2,FC,400.0
Nexusflow-Raven-v2 (FC),ast_java,Function Parsing Error, Decoding Failure,21,Function Parsing Error: Decoding Failure,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),ast_java,Simple Function Error, Incorrect Function Name,6,Simple Function Error: Incorrect Function Name,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),ast_java,Simple Function Error, Missing Required Parameter,3,Simple Function Error: Missing Required Parameter,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),ast_java,Simple Function Error, Unexpected Parameter Encountered,1,Simple Function Error: Unexpected Parameter Encountered,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),ast_java,Type Error, Primitive Type Mismatch,9,Type Error: Primitive Type Mismatch,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),ast_java,Value Error, Wrong String Value,5,Value Error: Wrong String Value,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),ast_java,Value Error, Wrong int/float/bool/variable Value,3,Value Error: Wrong int/float/bool/variable Value,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),ast_js,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),ast_js,Simple Function Error, Missing Required Parameter,1,Simple Function Error: Missing Required Parameter,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),ast_js,Simple Function Error, Unexpected Parameter Encountered,1,Simple Function Error: Unexpected Parameter Encountered,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),ast_js,Type Error, Composite Type Mismatch,1,Type Error: Composite Type Mismatch,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),ast_js,Type Error, Primitive Type Mismatch,4,Type Error: Primitive Type Mismatch,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),ast_js,Value Error, Invalid Dictionary Items,3,Value Error: Invalid Dictionary Items,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),ast_js,Value Error, Invalid Dictionary Key,1,Value Error: Invalid Dictionary Key,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),ast_js,Value Error, Invalid List/Tuple Format,1,Value Error: Invalid List/Tuple Format,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),ast_js,Value Error, Wrong String Value,5,Value Error: Wrong String Value,Nexusflow-Raven-v2,FC,100.0
Nexusflow-Raven-v2 (FC),ast_js,Value Error, Wrong int/float/bool/variable Value,1,Value Error: Wrong int/float/bool/variable Value,Nexusflow-Raven-v2,FC,100.0
Mistral-Medium-2312 (Prompt),exec_multiple,Function Parsing Error, Decoding Failure,12,Function Parsing Error: Decoding Failure,mistral-medium-2312,Prompt,50.0
Mistral-Medium-2312 (Prompt),ast_parallel,Function Parsing Error, Decoding Failure,15,Function Parsing Error: Decoding Failure,mistral-medium-2312,Prompt,200.0
Mistral-Medium-2312 (Prompt),ast_parallel,Parallel Function Error, No Match Found,10,Parallel Function Error: No Match Found,mistral-medium-2312,Prompt,200.0
Mistral-Medium-2312 (Prompt),ast_parallel,Parallel Function Error, Unexpected Function Count,7,Parallel Function Error: Unexpected Function Count,mistral-medium-2312,Prompt,200.0
Mistral-Medium-2312 (Prompt),exec_simple,Function Parsing Error, Decoding Failure,4,Function Parsing Error: Decoding Failure,mistral-medium-2312,Prompt,100.0
Mistral-Medium-2312 (Prompt),relevance,Relevance Error, Succeeded with Irrelevant Func Doc,28,Relevance Error: Succeeded with Irrelevant Func Doc,mistral-medium-2312,Prompt,240.0
Mistral-Medium-2312 (Prompt),exec_parallel_multiple,Function Parsing Error, Decoding Failure,6,Function Parsing Error: Decoding Failure,mistral-medium-2312,Prompt,40.0
Mistral-Medium-2312 (Prompt),exec_parallel_multiple,Value Error, Execution Result Count,1,Value Error: Execution Result Count,mistral-medium-2312,Prompt,40.0
Mistral-Medium-2312 (Prompt),exec_parallel,Function Parsing Error, Decoding Failure,4,Function Parsing Error: Decoding Failure,mistral-medium-2312,Prompt,50.0
Mistral-Medium-2312 (Prompt),exec_parallel,Value Error, Execution Result Count,2,Value Error: Execution Result Count,mistral-medium-2312,Prompt,50.0
Mistral-Medium-2312 (Prompt),ast_multiple,Function Parsing Error, Decoding Failure,4,Function Parsing Error: Decoding Failure,mistral-medium-2312,Prompt,200.0
Mistral-Medium-2312 (Prompt),ast_multiple,Parallel Function Error, No Match Found,9,Parallel Function Error: No Match Found,mistral-medium-2312,Prompt,200.0
Mistral-Medium-2312 (Prompt),ast_multiple,Parallel Function Error, Unexpected Function Count,3,Parallel Function Error: Unexpected Function Count,mistral-medium-2312,Prompt,200.0
Mistral-Medium-2312 (Prompt),ast_parallel_multiple,Function Parsing Error, Decoding Failure,13,Function Parsing Error: Decoding Failure,mistral-medium-2312,Prompt,200.0
Mistral-Medium-2312 (Prompt),ast_parallel_multiple,Function Parsing Error, Incorrect Decoder Output Format,2,Function Parsing Error: Incorrect Decoder Output Format,mistral-medium-2312,Prompt,200.0
Mistral-Medium-2312 (Prompt),ast_parallel_multiple,Parallel Function Error, No Match Found,42,Parallel Function Error: No Match Found,mistral-medium-2312,Prompt,200.0
Mistral-Medium-2312 (Prompt),ast_parallel_multiple,Parallel Function Error, Unexpected Function Count,4,Parallel Function Error: Unexpected Function Count,mistral-medium-2312,Prompt,200.0
Mistral-Medium-2312 (Prompt),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,1,Executable Function Error (REST): Incorrect HTTP Status Code,mistral-medium-2312,Prompt,70.0
Mistral-Medium-2312 (Prompt),exec_rest,Executable Function Error (REST), Runtime Execution Error,1,Executable Function Error (REST): Runtime Execution Error,mistral-medium-2312,Prompt,70.0
Mistral-Medium-2312 (Prompt),exec_rest,Function Parsing Error, Decoding Failure,52,Function Parsing Error: Decoding Failure,mistral-medium-2312,Prompt,70.0
Mistral-Medium-2312 (Prompt),ast_simple,Function Parsing Error, Decoding Failure,6,Function Parsing Error: Decoding Failure,mistral-medium-2312,Prompt,400.0
Mistral-Medium-2312 (Prompt),ast_simple,Simple Function Error, Missing Optional Parameter,3,Simple Function Error: Missing Optional Parameter,mistral-medium-2312,Prompt,400.0
Mistral-Medium-2312 (Prompt),ast_simple,Simple Function Error, Missing Required Parameter,2,Simple Function Error: Missing Required Parameter,mistral-medium-2312,Prompt,400.0
Mistral-Medium-2312 (Prompt),ast_simple,Type Error, Composite Type Mismatch,4,Type Error: Composite Type Mismatch,mistral-medium-2312,Prompt,400.0
Mistral-Medium-2312 (Prompt),ast_simple,Type Error, Primitive Type Mismatch,2,Type Error: Primitive Type Mismatch,mistral-medium-2312,Prompt,400.0
Mistral-Medium-2312 (Prompt),ast_simple,Value Error, Invalid Dictionary Items,1,Value Error: Invalid Dictionary Items,mistral-medium-2312,Prompt,400.0
Mistral-Medium-2312 (Prompt),ast_simple,Value Error, Invalid Dictionary Value,1,Value Error: Invalid Dictionary Value,mistral-medium-2312,Prompt,400.0
Mistral-Medium-2312 (Prompt),ast_simple,Value Error, Invalid List/Tuple Format,2,Value Error: Invalid List/Tuple Format,mistral-medium-2312,Prompt,400.0
Mistral-Medium-2312 (Prompt),ast_simple,Value Error, Wrong String Value,14,Value Error: Wrong String Value,mistral-medium-2312,Prompt,400.0
Mistral-Medium-2312 (Prompt),ast_simple,Value Error, Wrong int/float/bool/variable Value,5,Value Error: Wrong int/float/bool/variable Value,mistral-medium-2312,Prompt,400.0
Mistral-Medium-2312 (Prompt),ast_java,Function Parsing Error, Decoding Failure,32,Function Parsing Error: Decoding Failure,mistral-medium-2312,Prompt,100.0
Mistral-Medium-2312 (Prompt),ast_java,Simple Function Error, Incorrect Function Name,1,Simple Function Error: Incorrect Function Name,mistral-medium-2312,Prompt,100.0
