model_name,test_category,root_type,sub_type,count,error_type,original_model_name,model_type,test_category_count
Claude-instant-1.2 (Prompt),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,2,Executable Function Error (REST): Incorrect HTTP Status Code,claude-instant-1.2,Prompt,70.0
Claude-instant-1.2 (Prompt),exec_rest,Executable Function Error (REST), Incorrect Response Key,1,Executable Function Error (REST): Incorrect Response Key,claude-instant-1.2,Prompt,70.0
Claude-instant-1.2 (Prompt),exec_rest,Executable Function Error (REST), Runtime Execution Error,2,Executable Function Error (REST): Runtime Execution Error,claude-instant-1.2,Prompt,70.0
Claude-instant-1.2 (Prompt),exec_rest,Function Parsing Error, Decoding Failure,15,Function Parsing Error: Decoding Failure,claude-instant-1.2,Prompt,70.0
DBRX-Instruct (Prompt),exec_multiple,Function Parsing Error, Decoding Failure,6,Function Parsing Error: Decoding Failure,databricks-dbrx-instruct,Prompt,50.0
DBRX-Instruct (Prompt),exec_simple,Executable Function Error (Non REST), Incorrect Execution Result,2,Executable Function Error (Non REST): Incorrect Execution Result,databricks-dbrx-instruct,Prompt,100.0
DBRX-Instruct (Prompt),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,2,Executable Function Error (Non REST): Runtime Execution Error,databricks-dbrx-instruct,Prompt,100.0
DBRX-Instruct (Prompt),exec_simple,Function Parsing Error, Decoding Failure,15,Function Parsing Error: Decoding Failure,databricks-dbrx-instruct,Prompt,100.0
DBRX-Instruct (Prompt),exec_parallel_multiple,Function Parsing Error, Decoding Failure,8,Function Parsing Error: Decoding Failure,databricks-dbrx-instruct,Prompt,40.0
DBRX-Instruct (Prompt),exec_parallel_multiple,Value Error, Execution Result Count,2,Value Error: Execution Result Count,databricks-dbrx-instruct,Prompt,40.0
DBRX-Instruct (Prompt),exec_parallel,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,databricks-dbrx-instruct,Prompt,50.0
DBRX-Instruct (Prompt),exec_parallel,Value Error, Execution Result Count,3,Value Error: Execution Result Count,databricks-dbrx-instruct,Prompt,50.0
DBRX-Instruct (Prompt),exec_rest,Function Parsing Error, Decoding Failure,29,Function Parsing Error: Decoding Failure,databricks-dbrx-instruct,Prompt,70.0
Mistral-small-2402 (FC Auto),exec_multiple,Function Parsing Error, Decoding Failure,15,Function Parsing Error: Decoding Failure,mistral-small-2402-FC-Auto,FC Auto,50.0
Mistral-small-2402 (FC Auto),exec_simple,Function Parsing Error, Decoding Failure,21,Function Parsing Error: Decoding Failure,mistral-small-2402-FC-Auto,FC Auto,100.0
Mistral-small-2402 (FC Auto),exec_parallel_multiple,Function Parsing Error, Decoding Failure,20,Function Parsing Error: Decoding Failure,mistral-small-2402-FC-Auto,FC Auto,40.0
Mistral-small-2402 (FC Auto),exec_parallel_multiple,Value Error, Execution Result Count,17,Value Error: Execution Result Count,mistral-small-2402-FC-Auto,FC Auto,40.0
Mistral-small-2402 (FC Auto),exec_parallel,Function Parsing Error, Decoding Failure,25,Function Parsing Error: Decoding Failure,mistral-small-2402-FC-Auto,FC Auto,50.0
Mistral-small-2402 (FC Auto),exec_parallel,Value Error, Execution Result Count,22,Value Error: Execution Result Count,mistral-small-2402-FC-Auto,FC Auto,50.0
Mistral-small-2402 (FC Auto),exec_rest,Function Parsing Error, Decoding Failure,53,Function Parsing Error: Decoding Failure,mistral-small-2402-FC-Auto,FC Auto,70.0
Claude-3-Opus-20240229 (FC tools-2024-04-04),exec_multiple,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,claude-3-opus-20240229-FC,FC tools-2024-04-04,50.0
Claude-3-Opus-20240229 (FC tools-2024-04-04),exec_simple,Executable Function Error (Non REST), Incorrect Execution Result,3,Executable Function Error (Non REST): Incorrect Execution Result,claude-3-opus-20240229-FC,FC tools-2024-04-04,100.0
Claude-3-Opus-20240229 (FC tools-2024-04-04),exec_parallel_multiple,Value Error, Execution Result Count,9,Value Error: Execution Result Count,claude-3-opus-20240229-FC,FC tools-2024-04-04,40.0
Claude-3-Opus-20240229 (FC tools-2024-04-04),exec_parallel,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,claude-3-opus-20240229-FC,FC tools-2024-04-04,50.0
Claude-3-Opus-20240229 (FC tools-2024-04-04),exec_parallel,Value Error, Execution Result Count,25,Value Error: Execution Result Count,claude-3-opus-20240229-FC,FC tools-2024-04-04,50.0
Claude-3-Opus-20240229 (FC tools-2024-04-04),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,2,Executable Function Error (REST): Incorrect HTTP Status Code,claude-3-opus-20240229-FC,FC tools-2024-04-04,70.0
Claude-3-Opus-20240229 (FC tools-2024-04-04),exec_rest,Executable Function Error (REST), Incorrect Response Key,1,Executable Function Error (REST): Incorrect Response Key,claude-3-opus-20240229-FC,FC tools-2024-04-04,70.0
Claude-3-Opus-20240229 (FC tools-2024-04-04),exec_rest,Executable Function Error (REST), Runtime Execution Error,8,Executable Function Error (REST): Runtime Execution Error,claude-3-opus-20240229-FC,FC tools-2024-04-04,70.0
Claude-3-Opus-20240229 (FC tools-2024-04-04),exec_rest,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,claude-3-opus-20240229-FC,FC tools-2024-04-04,70.0
Mistral-small-2402 (FC Any),exec_parallel_multiple,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,mistral-small-2402-FC-Any,FC Any,40.0
Mistral-small-2402 (FC Any),exec_parallel_multiple,Value Error, Execution Result Count,31,Value Error: Execution Result Count,mistral-small-2402-FC-Any,FC Any,40.0
Mistral-small-2402 (FC Any),exec_parallel,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,mistral-small-2402-FC-Any,FC Any,50.0
Mistral-small-2402 (FC Any),exec_parallel,Value Error, Execution Result Count,41,Value Error: Execution Result Count,mistral-small-2402-FC-Any,FC Any,50.0
Mistral-small-2402 (FC Any),exec_rest,Executable Function Error (REST), Incorrect Response Key,4,Executable Function Error (REST): Incorrect Response Key,mistral-small-2402-FC-Any,FC Any,70.0
Mistral-small-2402 (FC Any),exec_rest,Executable Function Error (REST), Runtime Execution Error,2,Executable Function Error (REST): Runtime Execution Error,mistral-small-2402-FC-Any,FC Any,70.0
GPT-3.5-Turbo-0125 (FC),exec_multiple,Value Error, Execution Result Count,6,Value Error: Execution Result Count,gpt-3.5-turbo-0125-FC,FC,50.0
GPT-3.5-Turbo-0125 (FC),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,2,Executable Function Error (Non REST): Runtime Execution Error,gpt-3.5-turbo-0125-FC,FC,100.0
GPT-3.5-Turbo-0125 (FC),exec_parallel_multiple,Value Error, Execution Result Count,6,Value Error: Execution Result Count,gpt-3.5-turbo-0125-FC,FC,40.0
GPT-3.5-Turbo-0125 (FC),exec_parallel,Value Error, Execution Result Count,5,Value Error: Execution Result Count,gpt-3.5-turbo-0125-FC,FC,50.0
GPT-3.5-Turbo-0125 (FC),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,2,Executable Function Error (REST): Incorrect HTTP Status Code,gpt-3.5-turbo-0125-FC,FC,70.0
GPT-3.5-Turbo-0125 (FC),exec_rest,Executable Function Error (REST), Runtime Execution Error,4,Executable Function Error (REST): Runtime Execution Error,gpt-3.5-turbo-0125-FC,FC,70.0
Gemini-1.0-Pro-001 (FC),exec_multiple,Function Parsing Error, Decoding Failure,5,Function Parsing Error: Decoding Failure,gemini-1.0-pro,FC,50.0
Gemini-1.0-Pro-001 (FC),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,1,Executable Function Error (Non REST): Runtime Execution Error,gemini-1.0-pro,FC,100.0
Gemini-1.0-Pro-001 (FC),exec_simple,Function Parsing Error, Decoding Failure,10,Function Parsing Error: Decoding Failure,gemini-1.0-pro,FC,100.0
Gemini-1.0-Pro-001 (FC),exec_parallel_multiple,Function Parsing Error, Decoding Failure,14,Function Parsing Error: Decoding Failure,gemini-1.0-pro,FC,40.0
Gemini-1.0-Pro-001 (FC),exec_parallel_multiple,Value Error, Execution Result Count,21,Value Error: Execution Result Count,gemini-1.0-pro,FC,40.0
Gemini-1.0-Pro-001 (FC),exec_parallel,Function Parsing Error, Decoding Failure,8,Function Parsing Error: Decoding Failure,gemini-1.0-pro,FC,50.0
Gemini-1.0-Pro-001 (FC),exec_parallel,Value Error, Execution Result Count,18,Value Error: Execution Result Count,gemini-1.0-pro,FC,50.0
Gemini-1.0-Pro-001 (FC),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,2,Executable Function Error (REST): Incorrect HTTP Status Code,gemini-1.0-pro,FC,70.0
Gemini-1.0-Pro-001 (FC),exec_rest,Executable Function Error (REST), Incorrect Response Key,1,Executable Function Error (REST): Incorrect Response Key,gemini-1.0-pro,FC,70.0
Gemini-1.0-Pro-001 (FC),exec_rest,Executable Function Error (REST), Runtime Execution Error,6,Executable Function Error (REST): Runtime Execution Error,gemini-1.0-pro,FC,70.0
Gemini-1.0-Pro-001 (FC),exec_rest,Function Parsing Error, Decoding Failure,3,Function Parsing Error: Decoding Failure,gemini-1.0-pro,FC,70.0
Claude-3-Sonnet-20240229 (Prompt),exec_multiple,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,claude-3-sonnet-20240229,Prompt,50.0
Claude-3-Sonnet-20240229 (Prompt),exec_multiple,Value Error, Execution Result Count,2,Value Error: Execution Result Count,claude-3-sonnet-20240229,Prompt,50.0
Claude-3-Sonnet-20240229 (Prompt),exec_simple,Function Parsing Error, Decoding Failure,4,Function Parsing Error: Decoding Failure,claude-3-sonnet-20240229,Prompt,100.0
Claude-3-Sonnet-20240229 (Prompt),exec_parallel_multiple,Value Error, Execution Result Count,2,Value Error: Execution Result Count,claude-3-sonnet-20240229,Prompt,40.0
Claude-3-Sonnet-20240229 (Prompt),exec_parallel,Value Error, Execution Result Count,2,Value Error: Execution Result Count,claude-3-sonnet-20240229,Prompt,50.0
Claude-3-Sonnet-20240229 (Prompt),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,1,Executable Function Error (REST): Incorrect HTTP Status Code,claude-3-sonnet-20240229,Prompt,70.0
Claude-3-Sonnet-20240229 (Prompt),exec_rest,Executable Function Error (REST), Incorrect Response Key,6,Executable Function Error (REST): Incorrect Response Key,claude-3-sonnet-20240229,Prompt,70.0
Hermes-2-Pro-Mistral-7B (FC),exec_multiple,Function Parsing Error, Decoding Failure,3,Function Parsing Error: Decoding Failure,NousResearch_Hermes-2-Pro-Mistral-7B,FC,50.0
Hermes-2-Pro-Mistral-7B (FC),exec_multiple,Function Parsing Error, Incorrect Parsing Output Format,3,Function Parsing Error: Incorrect Parsing Output Format,NousResearch_Hermes-2-Pro-Mistral-7B,FC,50.0
Hermes-2-Pro-Mistral-7B (FC),exec_simple,Executable Function Error (Non REST), Incorrect Execution Result,11,Executable Function Error (Non REST): Incorrect Execution Result,NousResearch_Hermes-2-Pro-Mistral-7B,FC,100.0
Hermes-2-Pro-Mistral-7B (FC),exec_simple,Function Parsing Error, Decoding Failure,7,Function Parsing Error: Decoding Failure,NousResearch_Hermes-2-Pro-Mistral-7B,FC,100.0
Hermes-2-Pro-Mistral-7B (FC),exec_parallel_multiple,Function Parsing Error, Decoding Failure,3,Function Parsing Error: Decoding Failure,NousResearch_Hermes-2-Pro-Mistral-7B,FC,40.0
Hermes-2-Pro-Mistral-7B (FC),exec_parallel_multiple,Value Error, Execution Result Count,8,Value Error: Execution Result Count,NousResearch_Hermes-2-Pro-Mistral-7B,FC,40.0
Hermes-2-Pro-Mistral-7B (FC),exec_parallel,Function Parsing Error, Decoding Failure,3,Function Parsing Error: Decoding Failure,NousResearch_Hermes-2-Pro-Mistral-7B,FC,50.0
Hermes-2-Pro-Mistral-7B (FC),exec_parallel,Value Error, Execution Result Count,8,Value Error: Execution Result Count,NousResearch_Hermes-2-Pro-Mistral-7B,FC,50.0
Hermes-2-Pro-Mistral-7B (FC),exec_rest,Executable Error (REST), Response Format Error,1,Executable Error (REST): Response Format Error,NousResearch_Hermes-2-Pro-Mistral-7B,FC,70.0
Hermes-2-Pro-Mistral-7B (FC),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,3,Executable Function Error (REST): Incorrect HTTP Status Code,NousResearch_Hermes-2-Pro-Mistral-7B,FC,70.0
Hermes-2-Pro-Mistral-7B (FC),exec_rest,Executable Function Error (REST), Runtime Execution Error,29,Executable Function Error (REST): Runtime Execution Error,NousResearch_Hermes-2-Pro-Mistral-7B,FC,70.0
Hermes-2-Pro-Mistral-7B (FC),exec_rest,Function Parsing Error, Decoding Failure,18,Function Parsing Error: Decoding Failure,NousResearch_Hermes-2-Pro-Mistral-7B,FC,70.0
Hermes-2-Pro-Mistral-7B (FC),exec_rest,Function Parsing Error, Incorrect REST Parsing Output Format,1,Function Parsing Error: Incorrect REST Parsing Output Format,NousResearch_Hermes-2-Pro-Mistral-7B,FC,70.0
Gemini-1.5-Flash-Preview-0514 (FC),exec_multiple,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,gemini-1.5-flash-preview-0514,FC,50.0
Gemini-1.5-Flash-Preview-0514 (FC),exec_simple,Function Parsing Error, Decoding Failure,6,Function Parsing Error: Decoding Failure,gemini-1.5-flash-preview-0514,FC,100.0
Gemini-1.5-Flash-Preview-0514 (FC),exec_parallel_multiple,Function Parsing Error, Decoding Failure,3,Function Parsing Error: Decoding Failure,gemini-1.5-flash-preview-0514,FC,40.0
Gemini-1.5-Flash-Preview-0514 (FC),exec_parallel_multiple,Value Error, Execution Result Count,4,Value Error: Execution Result Count,gemini-1.5-flash-preview-0514,FC,40.0
Gemini-1.5-Flash-Preview-0514 (FC),exec_parallel,Function Parsing Error, Decoding Failure,7,Function Parsing Error: Decoding Failure,gemini-1.5-flash-preview-0514,FC,50.0
Gemini-1.5-Flash-Preview-0514 (FC),exec_parallel,Value Error, Execution Result Count,14,Value Error: Execution Result Count,gemini-1.5-flash-preview-0514,FC,50.0
Gemini-1.5-Flash-Preview-0514 (FC),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,19,Executable Function Error (REST): Incorrect HTTP Status Code,gemini-1.5-flash-preview-0514,FC,70.0
Gemini-1.5-Flash-Preview-0514 (FC),exec_rest,Executable Function Error (REST), Runtime Execution Error,3,Executable Function Error (REST): Runtime Execution Error,gemini-1.5-flash-preview-0514,FC,70.0
Gemini-1.5-Flash-Preview-0514 (FC),exec_rest,Function Parsing Error, Decoding Failure,3,Function Parsing Error: Decoding Failure,gemini-1.5-flash-preview-0514,FC,70.0
GPT-4o-2024-05-13 (Prompt),exec_multiple,Function Parsing Error, Decoding Failure,9,Function Parsing Error: Decoding Failure,gpt-4o-2024-05-13,Prompt,50.0
GPT-4o-2024-05-13 (Prompt),exec_simple,Function Parsing Error, Decoding Failure,5,Function Parsing Error: Decoding Failure,gpt-4o-2024-05-13,Prompt,100.0
GPT-4o-2024-05-13 (Prompt),exec_parallel_multiple,Function Parsing Error, Decoding Failure,4,Function Parsing Error: Decoding Failure,gpt-4o-2024-05-13,Prompt,40.0
GPT-4o-2024-05-13 (Prompt),exec_parallel_multiple,Value Error, Execution Result Count,1,Value Error: Execution Result Count,gpt-4o-2024-05-13,Prompt,40.0
GPT-4o-2024-05-13 (Prompt),exec_parallel,Function Parsing Error, Decoding Failure,10,Function Parsing Error: Decoding Failure,gpt-4o-2024-05-13,Prompt,50.0
GPT-4o-2024-05-13 (Prompt),exec_parallel,Value Error, Execution Result Count,2,Value Error: Execution Result Count,gpt-4o-2024-05-13,Prompt,50.0
GPT-4o-2024-05-13 (Prompt),exec_rest,Function Parsing Error, Decoding Failure,12,Function Parsing Error: Decoding Failure,gpt-4o-2024-05-13,Prompt,70.0
Mistral-large-2402 (FC Auto),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,1,Executable Function Error (Non REST): Runtime Execution Error,mistral-large-2402-FC-Auto,FC Auto,100.0
Mistral-large-2402 (FC Auto),exec_parallel_multiple,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,mistral-large-2402-FC-Auto,FC Auto,40.0
Mistral-large-2402 (FC Auto),exec_parallel_multiple,Value Error, Execution Result Count,13,Value Error: Execution Result Count,mistral-large-2402-FC-Auto,FC Auto,40.0
Mistral-large-2402 (FC Auto),exec_parallel,Function Parsing Error, Decoding Failure,3,Function Parsing Error: Decoding Failure,mistral-large-2402-FC-Auto,FC Auto,50.0
Mistral-large-2402 (FC Auto),exec_parallel,Value Error, Execution Result Count,42,Value Error: Execution Result Count,mistral-large-2402-FC-Auto,FC Auto,50.0
Mistral-large-2402 (FC Auto),exec_rest,Executable Function Error (REST), Incorrect Response Key,4,Executable Function Error (REST): Incorrect Response Key,mistral-large-2402-FC-Auto,FC Auto,70.0
Mistral-large-2402 (FC Auto),exec_rest,Function Parsing Error, Decoding Failure,22,Function Parsing Error: Decoding Failure,mistral-large-2402-FC-Auto,FC Auto,70.0
GPT-4-0125-Preview (Prompt),exec_multiple,Value Error, Execution Result Count,1,Value Error: Execution Result Count,gpt-4-0125-preview,Prompt,50.0
GPT-4-0125-Preview (Prompt),exec_parallel_multiple,Value Error, Execution Result Count,3,Value Error: Execution Result Count,gpt-4-0125-preview,Prompt,40.0
GPT-4-0125-Preview (Prompt),exec_parallel,Value Error, Execution Result Count,4,Value Error: Execution Result Count,gpt-4-0125-preview,Prompt,50.0
GPT-4-0125-Preview (Prompt),exec_rest,Executable Function Error (REST), Incorrect Response Key,1,Executable Function Error (REST): Incorrect Response Key,gpt-4-0125-preview,Prompt,70.0
GPT-4-0125-Preview (FC),exec_multiple,Value Error, Execution Result Count,3,Value Error: Execution Result Count,gpt-4-0125-preview-FC,FC,50.0
GPT-4-0125-Preview (FC),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,1,Executable Function Error (Non REST): Runtime Execution Error,gpt-4-0125-preview-FC,FC,100.0
GPT-4-0125-Preview (FC),exec_parallel_multiple,Value Error, Execution Result Count,3,Value Error: Execution Result Count,gpt-4-0125-preview-FC,FC,40.0
GPT-4-0125-Preview (FC),exec_parallel,Value Error, Execution Result Count,4,Value Error: Execution Result Count,gpt-4-0125-preview-FC,FC,50.0
GPT-4-0125-Preview (FC),exec_rest,Executable Function Error (REST), Runtime Execution Error,3,Executable Function Error (REST): Runtime Execution Error,gpt-4-0125-preview-FC,FC,70.0
GPT-4-0125-Preview (FC),exec_rest,Function Parsing Error, Decoding Failure,22,Function Parsing Error: Decoding Failure,gpt-4-0125-preview-FC,FC,70.0
